SU,Site,WaveHeight
1607680,Daytona,0.89354861
1609728,Daytona,0.859193665
1611776,Daytona,0.805995058
1613824,Daytona,0.984166473
1615872,Daytona,0.767905937
1617920,Daytona,0.864383721
1619968,Daytona,0.853556448
1622016,Daytona,0.877270545
1624064,Daytona,0.88609228
1626112,Daytona,0.829850705
1628160,Daytona,0.893847863
1630208,Daytona,0.831938027
1632256,Daytona,0.795256104
1634304,Daytona,0.872789224
1636352,Daytona,0.785560942
1638400,Daytona,0.857228317
1640448,Daytona,0.8696734
1642496,Daytona,0.893842301
1644544,Daytona,0.800355309
1646592,Daytona,0.918669163
1648640,Daytona,0.878106911
1650688,Daytona,0.825358139
1652736,Daytona,0.893271547
1654784,Daytona,0.924005085
1656832,Daytona,0.900860791
1658880,Daytona,0.753102765
1660928,Daytona,0.830552955
1662976,Daytona,0.941670478
1665024,Daytona,0.902180764
1667072,Daytona,0.82675687
1669120,Daytona,0.851870364
1671168,Daytona,0.89117538
1673216,Daytona,0.833281063
1675264,Daytona,0.736668285
1677312,Daytona,0.822884747
1679360,Daytona,0.860307586
1681408,Daytona,0.840943503
1683456,Daytona,0.92557271
1685504,Daytona,0.847455424
1687552,Daytona,0.838526384
1689600,Daytona,0.849763658
1691648,Daytona,0.843581172
1693696,Daytona,0.778476132
1695744,Daytona,0.798622837
1697792,Daytona,0.719232861
1699840,Daytona,0.805122005
1701888,Daytona,0.831942961
1703936,Daytona,0.890672971
1705984,Daytona,0.722466161
1708032,Daytona,0.847765265
1710080,Daytona,0.73961522
1712128,Daytona,0.815738181
1714176,Daytona,0.75040218
1716224,Daytona,0.733406538
1718272,Daytona,0.82802153
1720320,Daytona,0.742740159
1722368,Daytona,0.706244767
1724416,Daytona,0.731782584
1726464,Daytona,0.663132676
1728512,Daytona,0.789697071
1730560,Daytona,0.688836126
1732608,Daytona,0.825588717
1734656,Daytona,0.76754318
1736704,Daytona,0.804162377
1738752,Daytona,0.795422058
1740800,Daytona,0.69080277
1742848,Daytona,0.737261382
1744896,Daytona,0.77317719
1746944,Daytona,0.786266618
1748992,Daytona,0.691660742
1751040,Daytona,0.669141718
1753088,Daytona,0.683160976
1755136,Daytona,0.696595555
1757184,Daytona,0.796510767
1759232,Daytona,0.720694146
1761280,Daytona,0.738101487
1763328,Daytona,0.683168669
1765376,Daytona,0.718808725
1767424,Daytona,0.690613989
1769472,Daytona,0.853295783
1771520,Daytona,0.805733706
1773568,Daytona,0.764055459
1775616,Daytona,0.836602228
1777664,Daytona,0.707700481
1779712,Daytona,0.747122708
1781760,Daytona,0.734987235
1783808,Daytona,0.674634698
1785856,Daytona,0.661696787
1787904,Daytona,0.618636599
1789952,Daytona,0.63798815
1792000,Daytona,0.677094194
1794048,Daytona,0.727142475
1796096,Daytona,0.718211201
1798144,Daytona,0.670066231
1800192,Daytona,0.650237664
1802240,Daytona,0.62872662
1804288,Daytona,0.647467828
1806336,Daytona,0.673824421
1808384,Daytona,0.674911816
1810432,Daytona,0.591092188
1812480,Daytona,0.579824377
1814528,Daytona,0.630081887
1816576,Daytona,0.644647715
1818624,Daytona,0.64181402
1820672,Daytona,0.692947595
1822720,Daytona,0.634632583
1824768,Daytona,0.717927903
1826816,Daytona,0.572433723
1828864,Daytona,0.659465861
1830912,Daytona,0.63731676
1832960,Daytona,0.61299243
1835008,Daytona,0.694449626
1837056,Daytona,0.676394152
1839104,Daytona,0.595835559
1841152,Daytona,0.622695153
1843200,Daytona,0.625126148
1845248,Daytona,0.602048922
1847296,Daytona,0.564884993
1849344,Daytona,0.520164057
1851392,Daytona,0.613621724
1853440,Daytona,0.624022582
1855488,Daytona,0.66120633
1857536,Daytona,0.59714704
1859584,Daytona,0.678518457
1861632,Daytona,0.599770952
1863680,Daytona,0.538592212
1865728,Daytona,0.55597385
1867776,Daytona,0.587458898
1869824,Daytona,0.586725271
1871872,Daytona,0.564438133
1873920,Daytona,0.571835125
1875968,Daytona,0.584677834
1878016,Daytona,0.555573482
1880064,Daytona,0.634336951
1882112,Daytona,0.614561974
1884160,Daytona,0.62127854
1886208,Daytona,0.540639212
1888256,Daytona,0.55475756
1890304,Daytona,0.567009909
1892352,Daytona,0.561049365
1894400,Daytona,0.563993595
1896448,Daytona,0.54889705
1898496,Daytona,0.561299572
1900544,Daytona,0.568115776
1902592,Daytona,0.500190533
1904640,Daytona,0.527419724
1906688,Daytona,0.523472281
1908736,Daytona,0.553600996
1910784,Daytona,0.502559961
1912832,Daytona,0.54764344
1914880,Daytona,0.516667281
1916928,Daytona,0.544423419
1918976,Daytona,0.538897676
1921024,Daytona,0.500510654
1923072,Daytona,0.528932726
1925120,Daytona,0.533065515
1927168,Daytona,0.527349517
1929216,Daytona,0.528259427
1931264,Daytona,0.531542564
1933312,Daytona,0.556368516
1935360,Daytona,0.551074656
1937408,Daytona,0.520605157
1939456,Daytona,0.483788798
1941504,Daytona,0.580889422
1943552,Daytona,0.539614304
1945600,Daytona,0.583074744
1947648,Daytona,0.549985119
1949696,Daytona,0.606982291
1951744,Daytona,0.581372827
1953792,Daytona,0.54711075
1955840,Daytona,0.518080856
1957888,Daytona,0.564263629
1959936,Daytona,0.595029939
1961984,Daytona,0.522090403
1964032,Daytona,0.553916507
1966080,Daytona,0.576190735
1968128,Daytona,0.590037866
1970176,Daytona,0.615880442
1972224,Daytona,0.646518071
1974272,Daytona,0.580634075
1976320,Daytona,0.539630149
1978368,Daytona,0.520055104
1980416,Daytona,0.585318023
1982464,Daytona,0.526674721
1984512,Daytona,0.521890496
1986560,Daytona,0.618028431
1988608,Daytona,0.68925169
1990656,Daytona,0.591897053
1992704,Daytona,0.575106404
1994752,Daytona,0.615879691
1996800,Daytona,0.616342996
1998848,Daytona,0.710125947
2000896,Daytona,0.554232563
2002944,Daytona,0.653465335
2004992,Daytona,0.629739732
2007040,Daytona,0.667074985
2009088,Daytona,0.682866385
2011136,Daytona,0.693398349
2013184,Daytona,0.694840291
2015232,Daytona,0.650975465
2017280,Daytona,0.64324101
2019328,Daytona,0.724983948
2021376,Daytona,0.620105965
2023424,Daytona,0.607792823
2025472,Daytona,0.72833559
2027520,Daytona,0.623057345
2029568,Daytona,0.6930738
2031616,Daytona,0.659076288
2033664,Daytona,0.683332183
2035712,Daytona,0.735351552
2037760,Daytona,0.653786368
2039808,Daytona,0.699387647
2041856,Daytona,0.714205316
2043904,Daytona,0.671217596
2045952,Daytona,0.731920707
2048000,Daytona,0.701934627
2050048,Daytona,0.739246158
2052096,Daytona,0.772838311
2054144,Daytona,0.689394566
2056192,Daytona,0.803334642
2058240,Daytona,0.812181
2060288,Daytona,0.692393875
2062336,Daytona,0.644381446
2064384,Daytona,0.741180719
2066432,Daytona,0.671617423
2068480,Daytona,0.662709186
2070528,Daytona,0.632769788
2072576,Daytona,0.891763361
2074624,Daytona,0.913867263
2076672,Daytona,0.676286701
2078720,Daytona,0.683489704
2080768,Daytona,0.736308503
2082816,Daytona,0.725288788
2084864,Daytona,0.767012567
2086912,Daytona,0.673724934
2088960,Daytona,0.803119158
2091008,Daytona,0.690905176
2093056,Daytona,0.829072604
2095104,Daytona,0.678401379
2097152,Daytona,0.747324462
2099200,Daytona,0.658163194
2101248,Daytona,0.718295429
